"Surface","WRank","Year"
"Hard",63,2000
"Hard",5,2000
"Hard",40,2000
"Hard",65,2000
"Hard",81,2000
"Hard",58,2000
"Hard",26,2000
"Hard",11,2000
"Hard",24,2000
"Hard",134,2000
"Hard",55,2000
"Hard",15,2000
"Hard",208,2000
"Hard",142,2000
"Hard",84,2000
"Hard",227,2000
"Hard",5,2000
"Hard",40,2000
"Hard",26,2000
"Hard",11,2000
"Hard",24,2000
"Hard",55,2000
"Hard",15,2000
"Hard",84,2000
"Hard",5,2000
"Hard",40,2000
"Hard",24,2000
"Hard",15,2000
"Hard",5,2000
"Hard",24,2000
"Hard",24,2000
"Hard",94,2000
"Hard",116,2000
"Hard",104,2000
"Hard",162,2000
"Hard",38,2000
"Hard",128,2000
"Hard",127,2000
"Hard",163,2000
"Hard",117,2000
"Hard",145,2000
"Hard",14,2000
"Hard",121,2000
"Hard",111,2000
"Hard",125,2000
"Hard",160,2000
"Hard",99,2000
"Hard",104,2000
"Hard",162,2000
"Hard",38,2000
"Hard",128,2000
"Hard",163,2000
"Hard",117,2000
"Hard",14,2000
"Hard",121,2000
"Hard",104,2000
"Hard",38,2000
"Hard",128,2000
"Hard",14,2000
"Hard",38,2000
"Hard",128,2000
"Hard",38,2000
"Hard",85,2000
"Hard",211,2000
"Hard",206,2000
"Hard",33,2000
"Hard",73,2000
"Hard",6,2000
"Hard",74,2000
"Hard",32,2000
"Hard",44,2000
"Hard",47,2000
"Hard",49,2000
"Hard",83,2000
"Hard",39,2000
"Hard",85,2000
"Hard",33,2000
"Hard",6,2000
"Hard",74,2000
"Hard",32,2000
"Hard",44,2000
"Hard",47,2000
"Hard",83,2000
"Hard",33,2000
"Hard",6,2000
"Hard",32,2000
"Hard",47,2000
"Hard",32,2000
"Hard",47,2000
"Hard",211,2000
"Hard",115,2000
"Hard",50,2000
"Hard",45,2000
"Hard",57,2000
"Hard",72,2000
"Hard",60,2000
"Hard",11,2000
"Hard",43,2000
"Hard",48,2000
"Hard",14,2000
"Hard",38,2000
"Hard",46,2000
"Hard",37,2000
"Hard",167,2000
"Hard",66,2000
"Hard",211,2000
"Hard",50,2000
"Hard",45,2000
"Hard",72,2000
"Hard",60,2000
"Hard",14,2000
"Hard",46,2000
"Hard",37,2000
"Hard",211,2000
"Hard",72,2000
"Hard",14,2000
"Hard",50,2000
"Hard",14,2000
"Hard",14,2000
"Hard",42,2000
"Hard",39,2000
"Hard",55,2000
"Hard",28,2000
"Hard",69,2000
"Hard",21,2000
"Hard",23,2000
"Hard",47,2000
"Hard",40,2000
"Hard",17,2000
"Hard",7,2000
"Hard",79,2000
"Hard",8,2000
"Hard",94,2000
"Hard",41,2000
"Hard",102,2000
"Hard",28,2000
"Hard",69,2000
"Hard",21,2000
"Hard",17,2000
"Hard",7,2000
"Hard",79,2000
"Hard",94,2000
"Hard",102,2000
"Hard",28,2000
"Hard",21,2000
"Hard",79,2000
"Hard",94,2000
"Hard",21,2000
"Hard",94,2000
"Hard",21,2000
"Hard",34,2000
"Hard",27,2000
"Hard",153,2000
"Hard",78,2000
"Hard",18,2000
"Hard",21,2000
"Hard",39,2000
"Hard",33,2000
"Hard",4,2000
"Hard",40,2000
"Hard",9,2000
"Hard",25,2000
"Hard",52,2000
"Hard",43,2000
"Hard",61,2000
"Hard",47,2000
"Hard",34,2000
"Hard",18,2000
"Hard",21,2000
"Hard",39,2000
"Hard",33,2000
"Hard",4,2000
"Hard",25,2000
"Hard",43,2000
"Hard",34,2000
"Hard",18,2000
"Hard",39,2000
"Hard",4,2000
"Hard",39,2000
"Hard",4,2000
"Hard",4,2000
"Hard",51,2000
"Hard",87,2000
"Hard",12,2000
"Hard",67,2000
"Hard",20,2000
"Hard",147,2000
"Hard",63,2000
"Hard",41,2000
"Hard",3,2000
"Hard",114,2000
"Hard",69,2000
"Hard",77,2000
"Hard",38,2000
"Hard",91,2000
"Hard",84,2000
"Hard",67,2000
"Hard",20,2000
"Hard",147,2000
"Hard",63,2000
"Hard",69,2000
"Hard",77,2000
"Hard",38,2000
"Hard",84,2000
"Hard",67,2000
"Hard",20,2000
"Hard",77,2000
"Hard",38,2000
"Hard",67,2000
"Hard",77,2000
"Hard",77,2000
"Hard",94,2000
"Hard",42,2000
"Hard",44,2000
"Hard",53,2000
"Hard",95,2000
"Hard",98,2000
"Hard",64,2000
"Hard",82,2000
"Hard",188,2000
"Hard",143,2000
"Hard",97,2000
"Hard",17,2000
"Hard",60,2000
"Hard",79,2000
"Hard",125,2000
"Hard",120,2000
"Hard",42,2000
"Hard",44,2000
"Hard",53,2000
"Hard",95,2000
"Hard",98,2000
"Hard",82,2000
"Hard",17,2000
"Hard",79,2000
"Hard",44,2000
"Hard",53,2000
"Hard",17,2000
"Hard",79,2000
"Hard",17,2000
"Hard",79,2000
"Hard",17,2000
"Hard",175,2000
"Hard",419,2000
"Hard",99,2000
"Hard",109,2000
"Hard",131,2000
"Hard",204,2000
"Hard",127,2000
"Hard",118,2000
"Hard",596,2000
"Hard",113,2000
"Hard",96,2000
"Hard",105,2000
"Hard",97,2000
"Hard",125,2000
"Hard",112,2000
"Hard",76,2000
"Hard",43,2000
"Hard",46,2000
"Hard",70,2000
"Hard",55,2000
"Hard",64,2000
"Hard",21,2000
"Hard",78,2000
"Hard",135,2000
"Hard",16,2000
"Hard",118,2000
"Hard",58,2000
"Hard",56,2000
"Hard",97,2000
"Hard",65,2000
"Hard",37,2000
"Hard",76,2000
"Hard",43,2000
"Hard",46,2000
"Hard",21,2000
"Hard",118,2000
"Hard",58,2000
"Hard",56,2000
"Hard",76,2000
"Hard",21,2000
"Hard",78,2000
"Hard",118,2000
"Hard",76,2000
"Hard",78,2000
"Hard",78,2000
"Hard",69,2000
"Hard",280,2000
"Hard",34,2000
"Hard",49,2000
"Hard",19,2000
"Hard",11,2000
"Hard",23,2000
"Hard",2,2000
"Hard",4,2000
"Hard",5,2000
"Hard",40,2000
"Hard",15,2000
"Hard",13,2000
"Hard",35,2000
"Hard",98,2000
"Hard",110,2000
"Hard",49,2000
"Hard",11,2000
"Hard",23,2000
"Hard",2,2000
"Hard",4,2000
"Hard",5,2000
"Hard",15,2000
"Hard",13,2000
"Hard",49,2000
"Hard",11,2000
"Hard",2,2000
"Hard",15,2000
"Hard",11,2000
"Hard",15,2000
"Hard",15,2000
"Hard",27,2000
"Hard",12,2000
"Hard",66,2000
"Hard",43,2000
"Hard",21,2000
"Hard",61,2000
"Hard",3,2000
"Hard",33,2000
"Hard",10,2000
"Hard",72,2000
"Hard",15,2000
"Hard",34,2000
"Hard",163,2000
"Hard",77,2000
"Hard",44,2000
"Hard",32,2000
"Hard",12,2000
"Hard",66,2000
"Hard",3,2000
"Hard",10,2000
"Hard",72,2000
"Hard",15,2000
"Hard",34,2000
"Hard",32,2000
"Hard",12,2000
"Hard",3,2000
"Hard",72,2000
"Hard",15,2000
"Hard",3,2000
"Hard",72,2000
"Hard",72,2000
"Clay",91,2000
"Clay",129,2000
"Clay",70,2000
"Clay",65,2000
"Clay",67,2000
"Clay",103,2000
"Clay",243,2000
"Clay",38,2000
"Clay",6,2000
"Clay",9,2000
"Clay",29,2000
"Clay",128,2000
"Clay",57,2000
"Clay",46,2000
"Clay",107,2000
"Clay",74,2000
"Clay",129,2000
"Clay",65,2000
"Clay",103,2000
"Clay",38,2000
"Clay",9,2000
"Clay",128,2000
"Clay",46,2000
"Clay",129,2000
"Clay",38,2000
"Clay",128,2000
"Clay",46,2000
"Clay",129,2000
"Clay",128,2000
"Clay",129,2000
"Hard",79,2000
"Hard",106,2000
"Hard",69,2000
"Hard",91,2000
"Hard",58,2000
"Hard",226,2000
"Hard",65,2000
"Hard",121,2000
"Hard",125,2000
"Hard",48,2000
"Hard",197,2000
"Hard",72,2000
"Hard",83,2000
"Hard",38,2000
"Hard",54,2000
"Hard",80,2000
"Hard",69,2000
"Hard",91,2000
"Hard",58,2000
"Hard",48,2000
"Hard",72,2000
"Hard",83,2000
"Hard",38,2000
"Hard",80,2000
"Hard",58,2000
"Hard",48,2000
"Hard",38,2000
"Hard",80,2000
"Hard",48,2000
"Hard",80,2000
"Hard",80,2000
"Hard",429,2000
"Hard",178,2000
"Hard",42,2000
"Hard",71,2000
"Hard",96,2000
"Hard",97,2000
"Hard",81,2000
"Hard",76,2000
"Hard",33,2000
"Hard",140,2000
"Hard",129,2000
"Hard",17,2000
"Hard",100,2000
"Hard",37,2000
"Hard",178,2000
"Hard",71,2000
"Hard",96,2000
"Hard",97,2000
"Hard",33,2000
"Hard",17,2000
"Hard",100,2000
"Hard",37,2000
"Hard",178,2000
"Hard",71,2000
"Hard",97,2000
"Hard",33,2000
"Hard",178,2000
"Hard",33,2000
"Hard",33,2000
"Clay",88,2000
"Clay",133,2000
"Clay",138,2000
"Clay",70,2000
"Clay",74,2000
"Clay",422,2000
"Clay",60,2000
"Clay",220,2000
"Clay",6,2000
"Clay",85,2000
"Clay",84,2000
"Clay",103,2000
"Clay",151,2000
"Clay",46,2000
"Clay",111,2000
"Clay",138,2000
"Clay",60,2000
"Clay",220,2000
"Clay",6,2000
"Clay",85,2000
"Clay",84,2000
"Clay",151,2000
"Clay",46,2000
"Clay",60,2000
"Clay",6,2000
"Clay",85,2000
"Clay",84,2000
"Clay",6,2000
"Clay",84,2000
"Clay",6,2000
"Clay",73,2000
"Clay",56,2000
"Clay",19,2000
"Clay",68,2000
"Clay",5,2000
"Clay",22,2000
"Clay",78,2000
"Clay",184,2000
"Clay",129,2000
"Clay",120,2000
"Clay",102,2000
"Clay",45,2000
"Clay",108,2000
"Clay",56,2000
"Clay",19,2000
"Clay",105,2000
"Clay",5,2000
"Clay",22,2000
"Clay",78,2000
"Clay",72,2000
"Clay",45,2000
"Clay",19,2000
"Clay",5,2000
"Clay",72,2000
"Clay",45,2000
"Clay",19,2000
"Clay",72,2000
"Clay",72,2000
"Hard",1,2000
"Hard",64,2000
"Hard",43,2000
"Hard",32,2000
"Hard",16,2000
"Hard",48,2000
"Hard",30,2000
"Hard",11,2000
"Hard",18,2000
"Hard",8,2000
"Hard",60,2000
"Hard",25,2000
"Hard",65,2000
"Hard",7,2000
"Hard",2,2000
"Hard",34,2000
"Hard",43,2000
"Hard",16,2000
"Hard",30,2000
"Hard",11,2000
"Hard",18,2000
"Hard",8,2000
"Hard",7,2000
"Hard",16,2000
"Hard",30,2000
"Hard",11,2000
"Hard",11,2000
"Hard",18,2000
"Hard",18,2000
"Hard",34,2000
"Hard",62,2000
"Hard",40,2000
"Hard",42,2000
"Hard",26,2000
"Hard",13,2000
"Hard",53,2000
"Hard",51,2000
"Hard",10,2000
"Hard",30,2000
"Hard",46,2000
"Hard",19,2000
"Hard",22,2000
"Hard",9,2000
"Hard",12,2000
"Hard",21,2000
"Hard",70,2000
"Hard",55,2000
"Hard",3,2000
"Hard",6,2000
"Hard",8,2000
"Hard",68,2000
"Hard",5,2000
"Hard",35,2000
"Hard",15,2000
"Hard",7,2000
"Hard",18,2000
"Hard",31,2000
"Hard",2,2000
"Hard",33,2000
"Hard",64,2000
"Hard",28,2000
"Hard",34,2000
"Hard",62,2000
"Hard",26,2000
"Hard",13,2000
"Hard",10,2000
"Hard",30,2000
"Hard",19,2000
"Hard",22,2000
"Hard",8,2000
"Hard",68,2000
"Hard",5,2000
"Hard",35,2000
"Hard",2,2000
"Hard",33,2000
"Hard",64,2000
"Hard",28,2000
"Hard",34,2000
"Hard",26,2000
"Hard",10,2000
"Hard",8,2000
"Hard",5,2000
"Hard",35,2000
"Hard",2,2000
"Hard",64,2000
"Hard",26,2000
"Hard",10,2000
"Hard",8,2000
"Hard",35,2000
"Hard",26,2000
"Hard",10,2000
"Hard",111,2000
"Hard",81,2000
"Hard",54,2000
"Hard",152,2000
"Hard",124,2000
"Hard",70,2000
"Hard",37,2000
"Hard",61,2000
"Hard",60,2000
"Hard",53,2000
"Hard",44,2000
"Hard",63,2000
"Hard",86,2000
"Hard",57,2000
"Hard",82,2000
"Hard",48,2000
"Hard",69,2000
"Hard",136,2000
"Hard",167,2000
"Hard",97,2000
"Hard",35,2000
"Hard",58,2000
"Hard",43,2000
"Hard",42,2000
"Hard",67,2000
"Hard",83,2000
"Hard",87,2000
"Hard",989,2000
"Hard",140,2000
"Hard",49,2000
"Hard",62,2000
"Hard",1,2000
"Hard",81,2000
"Hard",54,2000
"Hard",7,2000
"Hard",28,2000
"Hard",44,2000
"Hard",63,2000
"Hard",86,2000
"Hard",20,2000
"Hard",10,2000
"Hard",14,2000
"Hard",22,2000
"Hard",69,2000
"Hard",3,2000
"Hard",136,2000
"Hard",6,2000
"Hard",9,2000
"Hard",26,2000
"Hard",32,2000
"Hard",5,2000
"Hard",42,2000
"Hard",67,2000
"Hard",24,2000
"Hard",11,2000
"Hard",83,2000
"Hard",16,2000
"Hard",8,2000
"Hard",18,2000
"Hard",2,2000
"Hard",62,2000
"Hard",25,2000
"Hard",1,2000
"Hard",7,2000
"Hard",44,2000
"Hard",86,2000
"Hard",10,2000
"Hard",14,2000
"Hard",22,2000
"Hard",3,2000
"Hard",6,2000
"Hard",9,2000
"Hard",24,2000
"Hard",83,2000
"Hard",16,2000
"Hard",8,2000
"Hard",18,2000
"Hard",2,2000
"Hard",1,2000
"Hard",44,2000
"Hard",86,2000
"Hard",10,2000
"Hard",14,2000
"Hard",6,2000
"Hard",2,2000
"Hard",1,2000
"Hard",14,2000
"Hard",6,2000
"Hard",2,2000
"Hard",6,2000
"Hard",2,2000
"Clay",1,2000
"Clay",125,2000
