"Surface","WRank","LRank","Year","Sex"
"Hard",63,77,2000,"M"
"Hard",5,56,2000,"M"
"Hard",40,655,2000,"M"
"Hard",65,87,2000,"M"
"Hard",81,198,2000,"M"
"Hard",58,105,2000,"M"
"Hard",26,51,2000,"M"
"Hard",11,218,2000,"M"
"Hard",24,129,2000,"M"
"Hard",134,351,2000,"M"
"Hard",55,21,2000,"M"
"Hard",15,155,2000,"M"
"Hard",208,122,2000,"M"
"Hard",142,79,2000,"M"
"Hard",84,20,2000,"M"
"Hard",227,88,2000,"M"
"Hard",5,65,2000,"M"
"Hard",40,63,2000,"M"
"Hard",26,58,2000,"M"
"Hard",11,134,2000,"M"
"Hard",24,208,2000,"M"
"Hard",55,142,2000,"M"
"Hard",15,81,2000,"M"
"Hard",84,227,2000,"M"
"Hard",5,26,2000,"M"
"Hard",40,11,2000,"M"
"Hard",24,84,2000,"M"
"Hard",15,55,2000,"M"
"Hard",5,15,2000,"M"
"Hard",24,40,2000,"M"
"Hard",24,5,2000,"M"
"Hard",94,1198,2000,"M"
"Hard",116,124,2000,"M"
"Hard",104,120,2000,"M"
"Hard",162,67,2000,"M"
"Hard",38,200,2000,"M"
"Hard",128,89,2000,"M"
"Hard",127,103,2000,"M"
"Hard",163,135,2000,"M"
"Hard",117,115,2000,"M"
"Hard",145,137,2000,"M"
"Hard",14,414,2000,"M"
"Hard",121,100,2000,"M"
"Hard",111,342,2000,"M"
"Hard",125,2,2000,"M"
"Hard",160,238,2000,"M"
"Hard",99,113,2000,"M"
"Hard",104,94,2000,"M"
"Hard",162,111,2000,"M"
"Hard",38,127,2000,"M"
"Hard",128,116,2000,"M"
"Hard",163,160,2000,"M"
"Hard",117,125,2000,"M"
"Hard",14,145,2000,"M"
"Hard",121,99,2000,"M"
"Hard",104,117,2000,"M"
"Hard",38,162,2000,"M"
"Hard",128,163,2000,"M"
"Hard",14,121,2000,"M"
"Hard",38,104,2000,"M"
"Hard",128,14,2000,"M"
"Hard",38,128,2000,"M"
"Hard",85,36,2000,"M"
"Hard",211,219,2000,"M"
"Hard",206,35,2000,"M"
"Hard",33,78,2000,"M"
"Hard",73,174,2000,"M"
"Hard",6,59,2000,"M"
"Hard",74,101,2000,"M"
"Hard",32,138,2000,"M"
"Hard",44,86,2000,"M"
"Hard",47,285,2000,"M"
"Hard",49,93,2000,"M"
"Hard",83,62,2000,"M"
"Hard",39,50,2000,"M"
"Hard",85,60,2000,"M"
"Hard",33,73,2000,"M"
"Hard",6,211,2000,"M"
"Hard",74,71,2000,"M"
"Hard",32,69,2000,"M"
"Hard",44,49,2000,"M"
"Hard",47,39,2000,"M"
"Hard",83,206,2000,"M"
"Hard",33,83,2000,"M"
"Hard",6,44,2000,"M"
"Hard",32,85,2000,"M"
"Hard",47,74,2000,"M"
"Hard",32,6,2000,"M"
"Hard",47,33,2000,"M"
"Hard",211,49,2000,"M"
"Hard",115,95,2000,"M"
