"Surface","WRank","Year"
"Hard",81,2007
"Hard",59,2007
"Hard",56,2007
"Hard",70,2007
"Hard",18,2007
"Hard",75,2007
"Hard",36,2007
"Hard",162,2007
"Hard",88,2007
"Hard",74,2007
"Hard",135,2007
"Hard",178,2007
"Hard",17,2007
"Hard",68,2007
"Hard",24,2007
"Hard",12,2007
"Hard",70,2007
"Hard",56,2007
"Hard",178,2007
"Hard",36,2007
"Hard",75,2007
"Hard",12,2007
"Hard",88,2007
"Hard",24,2007
"Hard",75,2007
"Hard",70,2007
"Hard",12,2007
"Hard",24,2007
"Hard",12,2007
"Hard",54,2006
"Hard",103,2006
"Hard",40,2006
"Hard",7,2006
"Hard",47,2006
"Hard",184,2006
"Hard",20,2007
"Hard",21,2007
"Hard",23,2007
"Hard",39,2007
"Hard",38,2007
"Hard",14,2007
"Hard",77,2007
"Hard",30,2007
"Hard",29,2007
"Hard",11,2007
"Hard",54,2007
"Hard",38,2007
"Hard",47,2007
"Hard",7,2007
"Hard",20,2007
"Hard",14,2007
"Hard",11,2007
"Hard",29,2007
"Hard",38,2007
"Hard",20,2007
"Hard",11,2007
"Hard",7,2007
"Hard",11,2007
"Hard",11,2007
"Hard",13,2007
"Hard",52,2007
"Hard",46,2007
"Hard",38,2007
"Hard",30,2007
"Hard",66,2007
"Hard",74,2007
"Hard",56,2007
"Hard",28,2007
"Hard",165,2007
"Hard",32,2007
"Hard",34,2007
"Hard",70,2007
"Hard",64,2007
"Hard",94,2007
"Hard",39,2007
"Hard",34,2007
"Hard",46,2007
"Hard",56,2007
"Hard",94,2007
"Hard",70,2007
"Hard",13,2007
"Hard",66,2007
"Hard",165,2007
"Hard",70,2007
"Hard",66,2007
"Hard",13,2007
"Hard",56,2007
"Hard",70,2007
"Hard",13,2007
"Hard",13,2007
"Hard",14,2007
"Hard",21,2007
"Hard",18,2007
"Hard",11,2007
"Hard",27,2007
"Hard",22,2007
"Hard",82,2007
"Hard",9,2007
"Hard",23,2007
"Hard",12,2007
"Hard",8,2007
"Hard",72,2007
"Hard",12,2007
"Hard",3,2007
"Hard",18,2007
"Hard",21,2007
"Hard",5,2007
"Hard",11,2007
"Hard",5,2007
"Hard",21,2007
"Hard",12,2007
"Hard",11,2007
"Hard",5,2007
"Hard",12,2007
"Hard",5,2007
"Hard",3,2007
"Hard",90,2007
"Hard",38,2007
"Hard",95,2007
"Hard",17,2007
"Hard",106,2007
"Hard",28,2007
"Hard",84,2007
"Hard",68,2007
"Hard",94,2007
"Hard",36,2007
"Hard",23,2007
"Hard",116,2007
"Hard",8,2007
"Hard",55,2007
"Hard",26,2007
"Hard",12,2007
"Hard",22,2007
"Hard",41,2007
"Hard",11,2007
"Hard",83,2007
"Hard",69,2007
"Hard",21,2007
"Hard",70,2007
"Hard",57,2007
"Hard",6,2007
"Hard",20,2007
"Hard",97,2007
"Hard",4,2007
"Hard",241,2007
"Hard",159,2007
"Hard",81,2007
"Hard",2,2007
"Hard",100,2007
"Hard",53,2007
"Hard",14,2007
"Hard",13,2007
"Hard",72,2007
"Hard",67,2007
"Hard",27,2007
"Hard",134,2007
"Hard",59,2007
"Hard",65,2007
"Hard",158,2007
"Hard",78,2007
"Hard",34,2007
"Hard",33,2007
"Hard",5,2007
"Hard",86,2007
"Hard",7,2007
"Hard",77,2007
"Hard",141,2007
"Hard",52,2007
"Hard",9,2007
"Hard",24,2007
"Hard",187,2007
"Hard",10,2007
"Hard",148,2007
"Hard",56,2007
"Hard",16,2007
"Hard",19,2007
"Hard",88,2007
"Hard",46,2007
"Hard",18,2007
"Hard",11,2007
"Hard",4,2007
"Hard",55,2007
"Hard",94,2007
"Hard",28,2007
"Hard",8,2007
