Sex,Year,Carpet,Clay,Grass,Greenset,Hard
M,2000,132,816,174,0,1238
M,2001,164,864,176,0,1260
M,2002,161,778,165,0,1092
M,2003,164,826,172,0,1042
M,2004,194,862,177,0,1052
M,2005,196,827,175,0,1116
M,2006,190,816,173,0,1113
M,2007,195,763,172,0,1096
M,2008,191,706,165,0,1016
M,2009,30,692,170,0,1230
M,2010,0,671,170,0,1241
M,2011,0,690,171,0,1222
M,2012,0,671,160,0,1253
M,2013,0,702,168,0,1128
M,2014,0,693,162,0,1111
M,2015,0,670,187,0,1179
M,2016,0,658,184,0,1196
M,2017,0,656,192,0,1202
M,2018,0,427,0,0,540
W,2006,0,0,0,0,6
W,2007,80,674,231,29,1377
W,2008,51,683,232,0,1328
W,2009,30,764,237,0,1298
W,2010,0,762,235,0,1356
W,2011,0,667,238,0,1465
W,2012,0,632,236,0,1449
W,2013,0,668,237,0,1471
W,2014,0,649,238,0,1446
W,2015,0,633,283,0,1500
W,2016,0,672,289,0,1471
W,2017,0,605,284,0,1518
W,2018,0,314,0,0,634
