Sex,Surface,Year,Matches
Male,Carpet,2007,195
Male,Carpet,2008,191
Male,Carpet,2009,30
Male,Clay,2007,763
Male,Clay,2008,706
Male,Clay,2009,692
Male,Clay,2010,671
Male,Clay,2011,690
Male,Clay,2012,671
Male,Clay,2013,702
Male,Clay,2014,693
Male,Clay,2015,670
Male,Clay,2016,658
Male,Clay,2017,656
Male,Grass,2007,172
Male,Grass,2008,165
Male,Grass,2009,170
Male,Grass,2010,170
Male,Grass,2011,171
Male,Grass,2012,160
Male,Grass,2013,168
Male,Grass,2014,162
Male,Grass,2015,187
Male,Grass,2016,184
Male,Grass,2017,192
Male,Hard,2007,1096
Male,Hard,2008,1016
Male,Hard,2009,1230
Male,Hard,2010,1241
Male,Hard,2011,1222
Male,Hard,2012,1253
Male,Hard,2013,1128
Male,Hard,2014,1111
Male,Hard,2015,1179
Male,Hard,2016,1196
Male,Hard,2017,1202
Female,Carpet,2007,80
Female,Carpet,2008,51
Female,Carpet,2009,30
Female,Clay,2007,674
Female,Clay,2008,683
Female,Clay,2009,764
Female,Clay,2010,762
Female,Clay,2011,667
Female,Clay,2012,632
Female,Clay,2013,668
Female,Clay,2014,649
Female,Clay,2015,633
Female,Clay,2016,672
Female,Clay,2017,605
Female,Grass,2007,231
Female,Grass,2008,232
Female,Grass,2009,237
Female,Grass,2010,235
Female,Grass,2011,238
Female,Grass,2012,236
Female,Grass,2013,237
Female,Grass,2014,238
Female,Grass,2015,283
Female,Grass,2016,289
Female,Grass,2017,284
Female,Greenset,2007,29
Female,Hard,2007,1377
Female,Hard,2008,1328
Female,Hard,2009,1298
Female,Hard,2010,1356
Female,Hard,2011,1465
Female,Hard,2012,1449
Female,Hard,2013,1471
Female,Hard,2014,1446
Female,Hard,2015,1500
Female,Hard,2016,1471
Female,Hard,2017,1518
