Rank,M,W
1,0.8337129840546698,0.8393939393939394
2,0.8023952095808383,0.769100169779287
3,0.7574316290130797,0.7492260061919505
4,0.7200488997555012,0.7267175572519083
5,0.723726977248104,0.711864406779661
6,0.7006880733944955,0.6862068965517242
7,0.6974248927038627,0.656093489148581
8,0.6859410430839002,0.6859903381642513
9,0.654911838790932,0.6942277691107644
10,0.6551282051282051,0.6552346570397112
11,0.6476683937823834,0.6842105263157895
12,0.6221628838451269,0.6403508771929824
13,0.6404199475065617,0.6528497409326425
14,0.6326530612244898,0.6357142857142857
15,0.6227621483375959,0.6566371681415929
16,0.5991620111731844,0.6506849315068494
17,0.6191709844559585,0.629757785467128
18,0.5732758620689655,0.6245551601423488
19,0.5991253644314869,0.6378091872791519
20,0.5642857142857143,0.6180327868852459
21,0.6108433734939759,0.5738963531669866
22,0.585499316005472,0.5594989561586639
23,0.5896739130434783,0.5911708253358925
24,0.5774456521739131,0.6165137614678899
25,0.5448179271708683,0.5690298507462687
26,0.5451895043731778,0.5795454545454546
27,0.56884561891516,0.5521235521235521
28,0.562753036437247,0.5499021526418787
29,0.5563093622795116,0.5542406311637081
30,0.5459533607681756,0.5531062124248497
31,0.569371727748691,0.5395256916996047
32,0.5492577597840755,0.581532416502947
33,0.5240793201133145,0.5273833671399595
34,0.5151953690303908,0.4966292134831461
35,0.5223463687150838,0.5221987315010571
36,0.5312066574202496,0.5361990950226244
37,0.5164051355206848,0.5294117647058824
38,0.5013927576601671,0.5100806451612904
39,0.5244755244755245,0.49107142857142855
40,0.4956395348837209,0.49209932279909707
41,0.5398110661268556,0.4563758389261745
42,0.5260115606936416,0.5066371681415929
43,0.4949640287769784,0.5206611570247934
44,0.5041436464088398,0.45368171021377673
45,0.49201741654571846,0.4396984924623116
46,0.5281329923273658,0.49776785714285715
47,0.5209235209235209,0.5
48,0.4699367088607595,0.48826291079812206
49,0.5114854517611026,0.5202702702702703
50,0.45941807044410415,0.4530120481927711
51,0.45320197044334976,0.4472361809045226
52,0.503030303030303,0.4760705289672544
53,0.5007385524372231,0.5047619047619047
54,0.4772370486656201,0.47512437810945274
55,0.5066273932253313,0.46616541353383456
56,0.44612794612794615,0.4802955665024631
57,0.4917293233082707,0.45410628019323673
58,0.4717285945072698,0.5011389521640092
59,0.4565972222222222,0.4428969359331476
60,0.5045731707317073,0.49261083743842365
61,0.4816,0.49719101123595505
