Rank,Sex,Total,Probability
1,Male,878,0.8337129840546698
1,Female,660,0.8393939393939394
2,Male,835,0.8023952095808383
2,Female,589,0.769100169779287
3,Male,841,0.7574316290130797
3,Female,646,0.7492260061919505
4,Male,818,0.7200488997555012
4,Female,655,0.7267175572519083
5,Male,923,0.723726977248104
5,Female,590,0.711864406779661
6,Male,872,0.7006880733944955
6,Female,580,0.6862068965517242
7,Male,932,0.6974248927038627
7,Female,599,0.656093489148581
8,Male,882,0.6859410430839002
8,Female,621,0.6859903381642513
9,Male,794,0.654911838790932
9,Female,641,0.6942277691107644
10,Male,780,0.6551282051282051
10,Female,554,0.6552346570397112
11,Male,772,0.6476683937823834
11,Female,627,0.6842105263157895
12,Male,749,0.6221628838451269
12,Female,570,0.6403508771929824
13,Male,762,0.6404199475065617
13,Female,579,0.6528497409326425
14,Male,784,0.6326530612244898
14,Female,560,0.6357142857142857
15,Male,782,0.6227621483375959
15,Female,565,0.6566371681415929
16,Male,716,0.5991620111731844
16,Female,584,0.6506849315068494
17,Male,772,0.6191709844559585
17,Female,578,0.629757785467128
18,Male,696,0.5732758620689655
18,Female,562,0.6245551601423488
19,Male,686,0.5991253644314869
19,Female,566,0.6378091872791519
20,Male,700,0.5642857142857143
20,Female,610,0.6180327868852459
21,Male,830,0.6108433734939759
21,Female,521,0.5738963531669866
22,Male,731,0.585499316005472
22,Female,479,0.5594989561586639
23,Male,736,0.5896739130434783
23,Female,521,0.5911708253358925
24,Male,736,0.5774456521739131
24,Female,545,0.6165137614678899
25,Male,714,0.5448179271708683
25,Female,536,0.5690298507462687
26,Male,686,0.5451895043731778
26,Female,528,0.5795454545454546
27,Male,719,0.56884561891516
27,Female,518,0.5521235521235521
28,Male,741,0.562753036437247
28,Female,511,0.5499021526418787
29,Male,737,0.5563093622795116
29,Female,507,0.5542406311637081
30,Male,729,0.5459533607681756
30,Female,499,0.5531062124248497
31,Male,764,0.569371727748691
31,Female,506,0.5395256916996047
32,Male,741,0.5492577597840755
32,Female,509,0.581532416502947
33,Male,706,0.5240793201133145
33,Female,493,0.5273833671399595
34,Male,691,0.5151953690303908
34,Female,445,0.4966292134831461
35,Male,716,0.5223463687150838
35,Female,473,0.5221987315010571
36,Male,721,0.5312066574202496
36,Female,442,0.5361990950226244
37,Male,701,0.5164051355206848
37,Female,493,0.5294117647058824
38,Male,718,0.5013927576601671
38,Female,496,0.5100806451612904
39,Male,715,0.5244755244755245
39,Female,448,0.49107142857142855
40,Male,688,0.4956395348837209
40,Female,443,0.49209932279909707
41,Male,741,0.5398110661268556
41,Female,447,0.4563758389261745
42,Male,692,0.5260115606936416
42,Female,452,0.5066371681415929
43,Male,695,0.4949640287769784
43,Female,484,0.5206611570247934
44,Male,724,0.5041436464088398
44,Female,421,0.45368171021377673
45,Male,689,0.49201741654571846
45,Female,398,0.4396984924623116
46,Male,782,0.5281329923273658
46,Female,448,0.49776785714285715
47,Male,693,0.5209235209235209
47,Female,438,0.5
48,Male,632,0.4699367088607595
48,Female,426,0.48826291079812206
49,Male,653,0.5114854517611026
49,Female,444,0.5202702702702703
